wallet,moca_id,moca_xp,week
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,1333,104.0,8
0x7832e77dd29096236c61b6ae4fbfc232a4cebb8f,1335,72.0,8
0x121562d23eb3f214596558e151a903aa8dad5db0,1336,72.0,8
0x9fed225115a1374c7f0faef307d471c80fff1893,1358,66.4,8
0x1584df90cb8ffda66d0d3b6b64ef7bfbdca191b8,1362,80.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1376,76.8,8
0x410a20d45edbb4415a5981be8d559676b8100e57,1392,76.8,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,1412,108.8,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1431,108.8,8
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,1442,89.6,8
0xb0e8af8ddc8480789b37f90689c5bbba2139804c,1443,58.0,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,1455,108.8,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,1467,75.2,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,1482,108.8,8
0xcc614c9c5533e8f8d9dda498e38feb24f19b154e,1486,40.0,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,1496,80.8,8
0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,1497,94.0,8
0xbe101822c9a1fb894f6321932c5dc5b9c79810d0,1498,80.0,8
0x92373997819b0e4529be7988eea4bedd4d276f74,1509,92.8,8
0x7af28981429bfaa8084d89b7f9336d16755fd71c,1512,103.0,8
0x7af28981429bfaa8084d89b7f9336d16755fd71c,1513,64.0,8
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,1514,88.0,8
0x58f96c1d46db3a967c7dd33f1a3f0b601745d05b,1515,108.0,8
0xc9e489dc86bf2d5eef11bce89846e67039275bd9,1519,90.0,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,1543,108.8,8
0x6205c7c6114f90ec08054c00db958a90ab622c61,1550,80.0,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1551,70.8,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,1560,104.0,8
0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,1561,83.2,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,1570,104.0,8
0x4a791828f3b69c760b111cfcbcc20b1f93f4f3b5,1571,64.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1574,108.8,8
0xb150b53a0a444eb153d1823c67d22795a3735dda,1597,90.0,8
0xdaf8313d766a62b5271a446b7e03d45ffb000490,1598,108.8,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,1600,92.8,8
0xc912883f4457be8eae99bb0e228f7846108861b6,1602,80.0,8
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,1610,70.4,8
0x11705c7baf986594913ac568ac18fb0f039ef2d6,1611,80.0,8
0x11705c7baf986594913ac568ac18fb0f039ef2d6,1612,64.0,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1619,78.4,8
0xa5e2bb97de3c62ca06f1a2293eb7e01c114e9a49,1620,80.8,8
0x392b0b4b2fb56f12512dfc8ad9f5c9643dfeab45,1626,87.0,8
0xb3012e44cac8fe92704ba59ff25054a710ad179e,1637,80.0,8
0xb3012e44cac8fe92704ba59ff25054a710ad179e,1638,80.0,8
0x7b2758ef11d152becab8c9aa3f0f7a43c1075ab9,1640,68.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1650,76.8,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,1661,104.0,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,1662,104.0,8
0x3cac7e12dc3bae6ebe2909c82addb04da4cc340b,1663,93.0,8
0x4daf440bb1ec17628dad45ed45b726759a99271a,1664,93.0,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,1666,104.0,8
0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,1668,68.8,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,1677,108.8,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,1693,76.8,8
0x9fed225115a1374c7f0faef307d471c80fff1893,1695,65.6,8
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,1709,108.8,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,1718,108.8,8
0x947a518695f63096650e7bfd421fd9be8b38be3a,1728,108.8,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,1729,108.8,8
0x554d0c1f3e79b80fa41f9be17d6406d934f76427,1740,94.4,8
0xd1a18f6aa5bc2b4928c313f1bdbe9f5799f1a2db,1752,108.8,8
0xd1a18f6aa5bc2b4928c313f1bdbe9f5799f1a2db,1753,108.8,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,1770,108.8,8
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,1775,114.0,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1778,70.4,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1779,108.8,8
0xdddaf43d858823450a212a4a3c6d16136652951c,1780,64.0,8
0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b,1781,84.8,8
0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,1783,108.8,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,1794,104.0,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,1796,86.4,8
0xb5137d89bdc1ac83565d3d1cfb978e45c2063c11,1797,48.0,8
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,1808,108.8,8
0xa15dbef1c56c59b96c4d585ba69a554842e8a63b,1830,67.2,8
0x31031eeaaedd39ed8b06deca903cc7102678df80,1834,68.8,8
0xf3de4637151bef03caaa190fed96e290b30bd0cc,1840,100.0,8
0xbeaa41a14d1553914a8bc582eecc04d28c8d9873,1841,64.0,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1864,108.8,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1865,108.8,8
0x03351328843940bb13b014d3acf3debf9fa75525,1866,90.0,8
0x7201ad662c2f3808fc364ee62b9b31a6d8053ed4,1872,56.0,8
0xa28ef9ab58ae6d14c23f8855852346c9510e49a3,1889,108.8,8
0xc2ba2b009a9a8f12fdabed184412120fb072d620,1890,94.4,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1893,108.8,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,1899,78.4,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,1933,108.8,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1936,20.8,8
0x7201ad662c2f3808fc364ee62b9b31a6d8053ed4,1942,96.8,8
0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,1945,108.8,8
0x947a518695f63096650e7bfd421fd9be8b38be3a,1946,108.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1948,86.8,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1968,108.8,8
0xde9991ec0533e2c874cc9298097e9cf5db523f76,1976,100.0,8
0xd1a18f6aa5bc2b4928c313f1bdbe9f5799f1a2db,1978,108.8,8
0x538b436d765cb508a1dd26b6f014b5eb3b29e8bf,1987,80.0,8
0x538b436d765cb508a1dd26b6f014b5eb3b29e8bf,1988,80.0,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,1990,108.8,8
0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,1991,84.8,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,2001,108.8,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,2002,108.8,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2007,118.8,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2008,108.8,8
0xa5e2bb97de3c62ca06f1a2293eb7e01c114e9a49,2024,98.8,8
0xf30af00022a1f415f736c981903fb1a67f6a7796,2032,80.0,8
0xa5e2bb97de3c62ca06f1a2293eb7e01c114e9a49,2033,64.0,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,2034,76.8,8
0x7e222f65ab279507b4124ba450f13f9758212d42,2035,81.8,8
0x5b34d7917840fac7e91973abdd5647ae5eeccbaa,2037,84.8,8
0x5b34d7917840fac7e91973abdd5647ae5eeccbaa,2038,84.8,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,2043,86.4,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4622,108.8,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4623,108.8,8
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,4635,92.8,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,4640,62.4,8
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,4654,88.0,8
0x4c9d50ccac81b7473c222845531dc37f1c416166,4656,84.8,8
0x4c9d50ccac81b7473c222845531dc37f1c416166,4657,84.8,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,4667,54.4,8
0x8340fefd527494022d13e76150dee990d657e35b,4702,80.0,8
0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,4712,67.2,8
0x8202d20d5806bc6c860344800e2c829d10278d66,4715,40.0,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4716,108.8,8
0x410a20d45edbb4415a5981be8d559676b8100e57,4719,108.8,8
0x13027f849d4bb4193b09ba380f0940f389e770b0,4729,52.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4735,108.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4736,108.8,8
0xba943f9a82e378eac5c33bbc92263e82ee64f50b,4753,43.2,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,4754,108.8,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,4755,108.8,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,4756,80.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4768,108.8,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4769,108.8,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4770,108.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4771,108.8,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,4773,92.8,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,4777,80.0,8
0x3b0667ab576a6aceb3add15c98db84f51c20e370,4782,94.8,8
0xff5ad07002d876bbb63a17d3f5bab8f63f034e1e,4810,68.8,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4827,108.8,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4828,108.8,8
0xe1b549cbc27b838b412628048a6838babcf83336,4830,72.0,8
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,4835,91.2,8
0x92373997819b0e4529be7988eea4bedd4d276f74,4845,108.8,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,4862,108.8,8
0x13027f849d4bb4193b09ba380f0940f389e770b0,4865,60.8,8
0xe488fbac4a5c9b35325343a1c56723450e427d69,4887,98.8,8
0x9fed225115a1374c7f0faef307d471c80fff1893,4891,80.0,8
0xac9bd90cf2556259b30517211c8adcebf41c4433,4894,72.8,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,4901,108.8,8
0xc2ba2b009a9a8f12fdabed184412120fb072d620,4914,78.4,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,4930,108.8,8
0x13027f849d4bb4193b09ba380f0940f389e770b0,5012,36.8,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,5015,118.8,8
0x6eae0202053c5aef1b57911fec208f08d96050de,5019,96.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5052,108.8,8
0x07525e4ec167102d87d24a76195d6dc22e325635,5091,84.8,8
0x19c47b6bf29cab375a11b0138dba57e0e484fbdc,5094,84.8,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,5106,108.8,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,5118,92.8,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,5121,108.8,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,5122,108.8,8
0xda1e9c631ace798036d2650f0283e63bc546f213,5131,102.4,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5135,108.8,8
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5157,60.8,8
0xdaf8313d766a62b5271a446b7e03d45ffb000490,5158,108.8,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5167,54.4,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5168,54.4,8
0x0be708eafc31a270707f8b8a4ac0259b54b4740f,5178,107.2,8
0xf9a777c45223ca6549604c073ec1e25daf8a17b0,5189,91.6,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5199,108.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5226,96.0,8
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5252,106.4,8
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5253,106.4,8
0xcc0e876967c6f7d72162b489545fdab6f2b2f848,5263,77.6,8
0xdf5569a35e391e7093ca75c84e840220556ed483,5273,80.0,8
0xdf5569a35e391e7093ca75c84e840220556ed483,5274,80.0,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,5275,108.8,8
0x2897220823965b28bcb9d7fb3a215be633e377b4,5276,108.8,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5286,92.8,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5287,105.8,8
0x410a20d45edbb4415a5981be8d559676b8100e57,5314,108.8,8
0x713c9aa2bdc82febc3b7f0e07f8a19a99bf6e047,5324,80.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5332,92.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5370,92.8,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,5436,108.8,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,5438,104.0,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,5439,104.0,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,5442,104.0,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,5443,104.0,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,5446,104.0,8
0xc380b82ff3f0f1254eec6662e6c2ec9877df0e17,5447,104.0,8
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,5458,88.0,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5465,108.8,8
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5485,86.4,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,5486,96.0,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5513,108.8,8
0x9fed225115a1374c7f0faef307d471c80fff1893,5515,66.4,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,5529,92.8,8
0x3b0667ab576a6aceb3add15c98db84f51c20e370,5531,84.8,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,5561,108.8,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,5562,108.8,8
0xb432e38c547fe9e0822c225f6f488fc07d97bdcc,5591,80.0,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5592,108.8,8
0x10ecb6312f28280cf42926e4a052fbbae34cf37d,5604,100.0,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5612,76.8,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,5621,92.8,8
0xda1e9c631ace798036d2650f0283e63bc546f213,5624,102.4,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5634,108.8,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,5645,108.8,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,5646,118.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5650,108.8,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,5653,90.4,8
0x8b2abf9618cb3899b8459de211eadf53598245ad,5712,108.8,8
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5733,87.2,8
0x19c47b6bf29cab375a11b0138dba57e0e484fbdc,5739,84.8,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,5793,108.8,8
0x7e222f65ab279507b4124ba450f13f9758212d42,5801,68.8,8
0x87f4c743c2a1323a88855f2db61ec1eea651ca2e,5811,108.8,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5830,108.8,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,5850,108.8,8
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,5859,88.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5860,108.8,8
0x7a195e1d1d09e9a3bfb3e3be4e2d3b1462f7c6c8,5864,82.4,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5871,108.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5872,108.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5877,96.0,8
0x7a195e1d1d09e9a3bfb3e3be4e2d3b1462f7c6c8,5888,99.4,8
0x31031eeaaedd39ed8b06deca903cc7102678df80,5899,68.8,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5903,80.8,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,5921,68.0,8
0x25f61313de89c6effded2dbcdf6082547b5d8a53,5922,64.0,8
