wallet,moca_id,moca_xp,tribe,week
0xe4f1ffb476d5c3d10b270988527f2bde649c3a15,6464,64.0,angel,8
0x42f79fb2d6f0ac25fab596408c1b3f8a6d596d8a,4946,64.8,angel,8
0x19c47b6bf29cab375a11b0138dba57e0e484fbdc,5739,84.8,angel,8
0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,4578,92.8,angel,8
0x8fb8e00c7f18c9825ef62497978fe35a2748aaf3,2098,33.6,angel,8
0x3e06bd0bce5301af7a186d7f33478ad227df984a,2256,80.0,angel,8
0x3e06bd0bce5301af7a186d7f33478ad227df984a,2257,80.0,angel,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,904,88.8,angel,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,5436,108.8,angel,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,5985,94.6,angel,8
0xdaf8313d766a62b5271a446b7e03d45ffb000490,1027,108.8,angel,8
0xdaf8313d766a62b5271a446b7e03d45ffb000490,4039,108.8,angel,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1004,76.8,angel,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1038,84.8,angel,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,2756,68.8,angel,8
0x5f447199987971edb01e358cf67f390df9e75237,2166,97.8,angel,8
0x5f447199987971edb01e358cf67f390df9e75237,2167,84.8,angel,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,2036,56.0,angel,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,2044,96.0,angel,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,2755,56.0,angel,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,3182,69.0,angel,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,3270,86.4,angel,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,3493,72.0,angel,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,6257,80.0,angel,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,6345,72.0,angel,8
0x3018c8ad9b0b5e217e31ee70752b6c6032251cc2,1314,93.0,angel,8
0xe224a464e5b021636474a89c5b4bcb46dbd1da25,6810,87.0,angel,8
0x6fbb1030b44ff7e9cbd27038abb5ac94e21e7c07,2274,84.0,angel,8
0x6fbb1030b44ff7e9cbd27038abb5ac94e21e7c07,2275,97.0,angel,8
0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,1991,84.8,angel,8
0xea67f4e46ffbf42e825abd331c6b288927844acd,3331,94.4,angel,8
0xea67f4e46ffbf42e825abd331c6b288927844acd,3332,94.4,angel,8
