moca_id,moca_xp,wallet,week
3409,64.0,0xf771f220ae496197693c5a38525b24ad635b0870,6
3410,64.0,0xf771f220ae496197693c5a38525b24ad635b0870,6
2554,40.0,0x12b93dbca5cce9338756175da1fa51dbdacdf3b1,6
1675,51.2,0x12d47a4931a8e6f6e242b023b23f993570885605,6
1676,51.2,0x12d47a4931a8e6f6e242b023b23f993570885605,6
2058,51.2,0x12d47a4931a8e6f6e242b023b23f993570885605,6
4729,27.2,0x13027f849d4bb4193b09ba380f0940f389e770b0,6
4865,35.2,0x13027f849d4bb4193b09ba380f0940f389e770b0,6
5012,11.2,0x13027f849d4bb4193b09ba380f0940f389e770b0,6
3267,59.2,0x13027f849d4bb4193b09ba380f0940f389e770b0,6
3286,61.6,0x13027f849d4bb4193b09ba380f0940f389e770b0,6
3462,51.2,0x13027f849d4bb4193b09ba380f0940f389e770b0,6
2715,64.0,0x1324e1d684f537e1b1796783e89b8c5220c80c97,6
5271,64.0,0x134f89fa9c8dcf62c1e1f4aeb0fe9c9d5e69920a,6
5272,64.0,0x134f89fa9c8dcf62c1e1f4aeb0fe9c9d5e69920a,6
3776,64.0,0x135dbda444ffcd5cc4506fcb0dcbb48da5f1f988,6
7551,48.0,0x13a0915b2a2eb5ea9747e40725e2690381ef53da,6
1714,64.0,0x13b7f9af9dce8aa7cd978d766ab9758474221e8a,6
1715,64.0,0x13b7f9af9dce8aa7cd978d766ab9758474221e8a,6
5417,64.0,0x144174394c9ce81493788d3096a04c255c65b683,6
5418,64.0,0x144174394c9ce81493788d3096a04c255c65b683,6
1452,64.0,0x145751dd80110938101f28245fdc694ac513113b,6
4255,67.2,0x3f16271d7bf0991cc82d2aa1ef95c8ee9ff05456,6
4256,67.2,0x3f16271d7bf0991cc82d2aa1ef95c8ee9ff05456,6
4474,67.2,0x3f16271d7bf0991cc82d2aa1ef95c8ee9ff05456,6
4475,67.2,0x3f16271d7bf0991cc82d2aa1ef95c8ee9ff05456,6
6038,64.0,0x5572d2b679481f68680506b39043e253a5bb35fe,6
1362,64.0,0x1584df90cb8ffda66d0d3b6b64ef7bfbdca191b8,6
3138,64.0,0x1584df90cb8ffda66d0d3b6b64ef7bfbdca191b8,6
1134,64.0,0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e,6
3422,48.0,0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e,6
3791,64.0,0xf3edf9605cde44470dcc6bf455cd34b939668cc5,6
3792,80.0,0xf3edf9605cde44470dcc6bf455cd34b939668cc5,6
4491,48.0,0x19f334f9ff4e6fec21601c46b22e96ad040edcec,6
4355,64.0,0x1b6aa1020730c9c7b158e05d74f390a16140cc27,6
4356,64.0,0x1b6aa1020730c9c7b158e05d74f390a16140cc27,6
3344,48.0,0x1ba1ff69f03d38af7ef40e3afdc53ad073eb4642,6
6055,48.0,0x1c65b333dfb1acc18c96fc5469040b222dbe548a,6
2288,64.0,0x1cd50df53ea17c2b98a18fd65de2df173339296e,6
1012,67.2,0x1cd5c81f65c568a8e73473784c34964e2412b421,6
3233,67.2,0x1cd5c81f65c568a8e73473784c34964e2412b421,6
3597,67.2,0x1cd5c81f65c568a8e73473784c34964e2412b421,6
6488,64.0,0x1d34ef7a9acf7add20f748aa1f85903773eaff77,6
4061,64.0,0x1da5735648d5c6f8a0c164bd2d18ef13699a8e99,6
3738,64.0,0x1eebf4c9550db3e82d20f965d79d06e589532733,6
6541,68.8,0x03fc99a0cb721329a57e6610a1ec825c18f02dab,6
2237,68.8,0x03fc99a0cb721329a57e6610a1ec825c18f02dab,6
2524,52.8,0x03fc99a0cb721329a57e6610a1ec825c18f02dab,6
3063,58.4,0x03fc99a0cb721329a57e6610a1ec825c18f02dab,6
3847,36.8,0x03fc99a0cb721329a57e6610a1ec825c18f02dab,6
3848,68.8,0x03fc99a0cb721329a57e6610a1ec825c18f02dab,6
3649,64.0,0x81fe7ac2be6b608aea26fe52ecb9857b437a1080,6
4759,67.2,0x1fd252771bc2dfd38ec774efeeb3c6ab7e8e535b,6
4760,67.2,0x1fd252771bc2dfd38ec774efeeb3c6ab7e8e535b,6
1087,51.2,0x1fd252771bc2dfd38ec774efeeb3c6ab7e8e535b,6
5102,48.0,0x202c05cf01d9db2b44b50ba7827a001755305591,6
