moca_id,tribe,moca_xp,wallet,week
1018,dreamer,42.4,0x6313d7948d3491096ffe00dea2d246d588b4d4fc,5
2514,dreamer,42.4,0x6313d7948d3491096ffe00dea2d246d588b4d4fc,5
3209,dreamer,42.4,0x6313d7948d3491096ffe00dea2d246d588b4d4fc,5
5481,dreamer,56.0,0x648909d5537d782761245be9b4fb3f10122d70ae,5
5482,dreamer,56.0,0x648909d5537d782761245be9b4fb3f10122d70ae,5
999,dreamer,41.6,0x3755682324ef3b485ba375ca4967cff58ef94965,5
1856,dreamer,56.0,0x69486873ea8e52151a464f4a5a92c8609171a954,5
1857,dreamer,56.0,0x69486873ea8e52151a464f4a5a92c8609171a954,5
1474,dreamer,56.0,0x70a1d72a5d8b197e9e8825ab193fb638ed08c8c8,5
1776,dreamer,58.4,0x717d4e42f1a889bdacdbe8f01c3a3ace0b0ff0bd,5
5530,dreamer,56.0,0x720ccbe5cbc04f0c6331162a77690fbf4d13533a,5
4446,dreamer,56.0,0xe317d9e17044c03e0f9d18c7f2d91833523fbf0a,5
6545,dreamer,68.0,0x7728f3d2416dc0c6b363362301ada72e98ff1956,5
3532,dreamer,56.0,0x793df8014eaf918924006a4c7fc2999c643c0e9d,5
5109,dreamer,70.4,0x79727408e01d344b5ffd583f3f0dd734a40222e3,5
4364,dreamer,42.4,0x7a195e1d1d09e9a3bfb3e3be4e2d3b1462f7c6c8,5
5888,dreamer,58.4,0x7a195e1d1d09e9a3bfb3e3be4e2d3b1462f7c6c8,5
3933,dreamer,41.6,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5
3203,dreamer,8.8,0x835c05c64bd95ba68de9cd16ad332a607c7e90bc,5
3253,dreamer,58.4,0x835c05c64bd95ba68de9cd16ad332a607c7e90bc,5
3254,dreamer,58.4,0x835c05c64bd95ba68de9cd16ad332a607c7e90bc,5
6750,dreamer,24.0,0x852344da4d2c1a387444775a4e65b7b49815048a,5
3720,dreamer,56.0,0x36c9fec81193d86c4cc4953a59e59db948091c00,5
