wallet,moca_id,moca_xp,week
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,6501,160.0,13
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5830,176.8,13
0x9f1192009D492E3739F40FD461612659109e0178,4358,156.8,13
0x24c25c6bbd8e721d0557c0f5c7fdd3bd4713519a,4523,176.8,13
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6410,172.8,13
0x7b2758ef11d152becab8c9aa3f0f7a43c1075ab9,4479,102.0,13
0x821144a981e2de0d6b5fda88b48b25ee05ee3e1e,5730,104.8,13
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,2198,151.0,13
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,3435,161.2,13
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,1916,156.8,13
0x34f3133a2207262f2a15ba6b9a0687ced5714188,4592,132.8,13
0x648170077c732e74d2cea0319b874972b1ac216e,2229,164.0,13
0x45d0f9ec08b4a841b996cdd11117a260cb0cf458,3490,122.0,13
0xc2c29f5b503d9ae43b44874ea373bc13456f4c94,1564,124.0,13
0x7117e963e69edd070e1f2e2f4ffeca9d84c6b6ad,2091,96.0,13
0x311fdb1d597c0699a9f6b6b35235b5938fd07928,3604,132.8,13
0x36cdffb3165f39714455118262f5ff3ed1d4c7e1,4666,124.0,13
0xc0385c781b2f35ae0ba54c2948f4c23afa3bb954,3718,128.6,13
0xbe931D053E0156b527cA478744D212C66684F653,2553,104.0,13
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2530,172.8,13
0x03351328843940bb13b014d3acf3debf9fa75525,1866,130.0,13
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,2106,158.8,13
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,3403,150.0,13
0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,1959,119.2,13
0xef114fd2e8df2adac9085c70fff1d4e1c4c9b18e,1491,124.0,13
0x1cd5c81f65c568a8e73473784c34964e2412b421,3597,128.8,13
0x522562cbdb0ecfdbb331f5e753a0300b993618c7,6705,144.8,13
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5052,176.8,13
0x522562cbdb0ecfdbb331f5e753a0300b993618c7,1665,156.8,13
0xdbb9d557191501fd2cadf5a9fd80845f162d20dd,3840,156.8,13
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,6605,140.8,13
0x8c0ed0e12819f906b2f63fc28d865c695d1e6a1d,2401,138.8,13
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1650,142.8,13
0x574c6ed03833e957dbd13257e27d29a00bb08c61,3212,136.8,13
0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,2076,172.8,13
0x0c76c897e0ebf2062320c51fe68ecd39dfe4aae0,5259,124.0,13
0x83d498de2ef7de7076768c0f5a660e9433f45b22,2058,125.6,13
0xb2cba1e110ec3fe2f8a258cc67d606216c9f900e,5400,123.0,13
0xb5f809a5691e5673125d92959253099a4692a729,1327,122.4,13
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,2809,174.8,13
0xea9aaa635142aae3c710986f7be0a18ba02efb41,1010,150.4,13
0x38e4f745d85077976aab2b7d0c3da101024165b8,5193,124.0,13
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,1442,153.6,13
0x24c25c6bbd8e721d0557c0f5c7fdd3bd4713519a,4728,156.8,13
0x957a846b8d884230fedfd035eab11db6a2c02165,5014,156.8,13
