moca_id,tribe,moca_xp,wallet,week
2851,angel,54.4,0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,5
1953,angel,56.0,0x4c7e8ef1265a9556cdab173877edce0931ca6984,5
1954,angel,56.0,0x4c7e8ef1265a9556cdab173877edce0931ca6984,5
3195,angel,42.4,0x4c9d50ccac81b7473c222845531dc37f1c416166,5
5099,angel,70.4,0x4d1ccbe9f4cc1d83c1e7da10c9673f7f8be133f9,5
1664,angel,56.0,0x4daf440bb1ec17628dad45ed45b726759a99271a,5
2709,angel,56.0,0x4fa758c72a4aa977825ddf5b9196a6f29364661a,5
5611,angel,70.4,0x50c03dd5c0e51aa17f5860b17eb56a7f93f17f86,5
5836,angel,70.4,0x50c03dd5c0e51aa17f5860b17eb56a7f93f17f86,5
5104,angel,70.4,0x51a4d076a470cb806cbe44b8c1deb98933c6b82f,5
2122,angel,70.4,0x51a4d076a470cb806cbe44b8c1deb98933c6b82f,5
5750,angel,70.4,0x51a4d076a470cb806cbe44b8c1deb98933c6b82f,5
5032,angel,58.4,0x31546c09ce57628f98d5a4b78b164207595baf6c,5
5033,angel,58.4,0x31546c09ce57628f98d5a4b78b164207595baf6c,5
1750,angel,56.0,0x5597c8da6c72c6c70425cc15513bf208e099ef30,5
4685,angel,40.0,0x5597c8da6c72c6c70425cc15513bf208e099ef30,5
5436,angel,70.4,0x5a1c6b926209a865718d7be43055ab747fdafd57,5
965,angel,56.0,0x5c3573595f8d98dba39a666427945c8a045cd28e,5
3678,angel,63.2,0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5
2193,angel,56.0,0x5d399ac5289a991c9b6e3847c790175d28f0e275,5
3182,angel,40.0,0x984191e850d3e9de554396d78e029f31bf133f75,5
5334,angel,56.0,0x5e993c7f296d21ed2412960826f61c89a786e13f,5
5335,angel,56.0,0x5e993c7f296d21ed2412960826f61c89a786e13f,5
3427,angel,48.0,0x622b02af44e1ab16ee5fffdb61b4e2bd1cebd9e4,5
5223,angel,56.0,0x6f698c01fc0cdcd85905c2afd36feb60e0fa97bd,5
5224,angel,56.0,0x6f698c01fc0cdcd85905c2afd36feb60e0fa97bd,5
4164,angel,26.4,0x717d4e42f1a889bdacdbe8f01c3a3ace0b0ff0bd,5
1037,angel,60.8,0x7516d337dded2bdb8724ef3b0841dbd0b48cd7a3,5
1038,angel,60.8,0x7516d337dded2bdb8724ef3b0841dbd0b48cd7a3,5
3255,angel,25.6,0x7728f3d2416dc0c6b363362301ada72e98ff1956,5
6414,angel,68.0,0x7728f3d2416dc0c6b363362301ada72e98ff1956,5
4215,angel,70.4,0x79727408e01d344b5ffd583f3f0dd734a40222e3,5
5536,angel,70.4,0x79727408e01d344b5ffd583f3f0dd734a40222e3,5
2830,angel,68.0,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5
5252,angel,68.0,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5
5253,angel,68.0,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5
6203,angel,68.0,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5
5336,angel,56.0,0x7f561b815786a13e97073979a9b149fb11498a3e,5
5337,angel,56.0,0x7f561b815786a13e97073979a9b149fb11498a3e,5
6059,angel,56.0,0x82636b0d51ed02132d445d3c32a57280a0625053,5
6060,angel,56.0,0x82636b0d51ed02132d445d3c32a57280a0625053,5
1646,angel,63.2,0x836a51a6d849e6b1a2161c2329a71c7574b35d5c,5
6438,angel,42.4,0x837b36f5b8f5adc47d541fb5307088abdb9a7a09,5
2260,angel,54.4,0x87f4c743c2a1323a88855f2db61ec1eea651ca2e,5
