moca_id,tribe,moca_xp,wallet,week
2759,builder,70.4,0x45c9235209a06bf8c8596c00b2934cf5aade091e,5
2708,builder,58.4,0x4839460f05b2a8fc1b615e0523ebc46efba75420,5
5669,builder,70.4,0x4a26043618bd139f6c5cd1749539787dbfd4a64f,5
5607,builder,70.4,0x4d1ccbe9f4cc1d83c1e7da10c9673f7f8be133f9,5
3536,builder,70.4,0x50c03dd5c0e51aa17f5860b17eb56a7f93f17f86,5
1197,builder,56.0,0xca8edf32dd9fcb9cdb3346accb24ebc03686fcfb,5
3212,builder,56.0,0x574c6ed03833e957dbd13257e27d29a00bb08c61,5
3213,builder,56.0,0x574c6ed03833e957dbd13257e27d29a00bb08c61,5
1106,builder,38.4,0x5a1c6b926209a865718d7be43055ab747fdafd57,5
2037,builder,58.4,0x5b34d7917840fac7e91973abdd5647ae5eeccbaa,5
2038,builder,58.4,0x5b34d7917840fac7e91973abdd5647ae5eeccbaa,5
3489,builder,54.4,0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5
5733,builder,52.0,0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5
5974,builder,56.0,0x3e3bae0f269833ff35c68a0fb8cd895c73de7a08,5
2721,builder,56.0,0x64220b85356c2e31aa5b2dd79322dbab63d05f22,5
2722,builder,56.0,0x64220b85356c2e31aa5b2dd79322dbab63d05f22,5
4143,builder,24.0,0x6f88adabf0db7c1c9a87ca60bf27ab820be986a2,5
3919,builder,56.0,0x712fa6b54381bfacd214a50bb6c9b9c591bc3d52,5
3920,builder,56.0,0x712fa6b54381bfacd214a50bb6c9b9c591bc3d52,5
6779,builder,68.0,0x7728f3d2416dc0c6b363362301ada72e98ff1956,5
5364,builder,70.4,0x79727408e01d344b5ffd583f3f0dd734a40222e3,5
4119,builder,56.0,0x7b975a831fdf363cd999f60d359a9d9823de7c77,5
4120,builder,56.0,0x7b975a831fdf363cd999f60d359a9d9823de7c77,5
4444,builder,52.0,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5
2681,builder,63.2,0x836a51a6d849e6b1a2161c2329a71c7574b35d5c,5
1266,builder,48.0,0x8450e1397c3938ec43cb646dbae760273372001b,5
3693,builder,70.4,0x87f4c743c2a1323a88855f2db61ec1eea651ca2e,5
5811,builder,70.4,0x87f4c743c2a1323a88855f2db61ec1eea651ca2e,5
3271,builder,63.2,0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,5
3272,builder,31.2,0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,5
5295,builder,63.2,0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,5
1198,builder,56.0,0x89d5ac566d4d0bf14dad8b0531dd4b3de47f9424,5
2448,builder,40.0,0x89F6854cd2f782fc671f2A8Abab4dE5Ed269c95d,5
5148,builder,58.4,0x8ee376de530fb9a734df676e7e4342b48355f483,5
3228,builder,56.0,0xe93735deb30aaa0810dfda7fb2b0e2115982b1d1,5
3229,builder,56.0,0xe93735deb30aaa0810dfda7fb2b0e2115982b1d1,5
3216,builder,54.4,0x957a846b8d884230fedfd035eab11db6a2c02165,5
3217,builder,54.4,0x957a846b8d884230fedfd035eab11db6a2c02165,5
3390,builder,70.4,0x957a846b8d884230fedfd035eab11db6a2c02165,5
3273,builder,70.4,0x95b61beb8bb3f8b473c420f3355762808f09d828,5
5558,builder,70.4,0x95b61beb8bb3f8b473c420f3355762808f09d828,5
5557,builder,70.4,0x973957d96657521ea8c00b024167944c6e7031f3,5
4366,builder,70.4,0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,5
