wallet,moca_id,moca_xp,tribe,week
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,1307,108.8,builder,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,1899,78.4,builder,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5612,76.8,builder,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,6010,108.8,builder,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2007,118.8,builder,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2008,108.8,builder,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,4367,108.8,builder,8
0x03fc99a0cb721329a57e6610a1ec825c18f02dab,3063,77.6,builder,8
0x828702fc0c977f0b347c998c107df77618f85e87,1912,92.8,builder,8
0x828702fc0c977f0b347c998c107df77618f85e87,2667,108.8,builder,8
0x828702fc0c977f0b347c998c107df77618f85e87,6510,108.8,builder,8
0x828702fc0c977f0b347c998c107df77618f85e87,6579,92.8,builder,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,1263,102.8,builder,8
0x947a518695f63096650e7bfd421fd9be8b38be3a,1946,108.8,builder,8
0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,1945,108.8,builder,8
0xa28ef9ab58ae6d14c23f8855852346c9510e49a3,1889,108.8,builder,8
0x92373997819b0e4529be7988eea4bedd4d276f74,6009,92.8,builder,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,4366,118.8,builder,8
0x46fb16917b38f86ab128cc946b45b250261848ff,2669,72.0,builder,8
0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,6577,84.8,builder,8
0x486a9b8600b64429b3046e39ffaa19f8be121dd4,2876,80.0,builder,8
0x7c1023815895a8a67b6c44a07f85228df0d7407c,2877,80.0,builder,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1619,78.4,builder,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1778,70.4,builder,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,2421,28.8,builder,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,6011,16.0,builder,8
0x9fed225115a1374c7f0faef307d471c80fff1893,4038,72.8,builder,8
0xe4f1ffb476d5c3d10b270988527f2bde649c3a15,5573,83.6,builder,8
0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,1067,68.0,builder,8
0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,6028,84.0,builder,8
0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,6699,80.0,builder,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,1106,76.8,builder,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,2131,50.4,builder,8
0xdaf8313d766a62b5271a446b7e03d45ffb000490,6715,108.8,builder,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1169,76.8,builder,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,6320,96.0,builder,8
0x5f447199987971edb01e358cf67f390df9e75237,6578,84.8,builder,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,1843,96.0,builder,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,2476,56.0,builder,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,5653,90.4,builder,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,5735,72.8,builder,8
0x8450e1397c3938ec43cb646dbae760273372001b,1266,72.0,builder,8
