moca_id,moca_xp,wallet
1775,32,0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7
1779,32,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc
1780,16,0xdddaf43d858823450a212a4a3c6d16136652951c
1781,32,0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b
1783,32,0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6
1784,32,0x34f3133a2207262f2a15ba6b9a0687ced5714188
1785,32,0x34f3133a2207262f2a15ba6b9a0687ced5714188
1796,32,0xcff93b6d1401f60f99a218e628449bed7799ccf8
1798,32,0xab7566331ef969e735357a75690c27dcb3494fd7
1804,32,0x6e61851aa4312e1bea08e63ef6037c55758fb34c
1808,32,0xdbd3e0ec8aee886c17e5f4ae61b59089b389d0f6
1818,32,0xde1f20ac365fa7e562903cf6d63493be534dacfc
1819,32,0xde1f20ac365fa7e562903cf6d63493be534dacfc
1823,32,0xfccdcdb6ae0e5820b21c98d323c1340fcce63cae
1827,32,0xb44388e29abc09e79aab58e990a3d2b873677384
1830,32,0x646752ea6bb225e688fd69b9e7b2fc05e34f34c6
1834,16,0x31031eeaaedd39ed8b06deca903cc7102678df80
1836,32,0x0a72b56ce331cf97b9c693a08dce49a9566753b1
1846,32,0xc146f11ecc7cd059218fdfe7ebc440c59addba9c
1847,32,0xc146f11ecc7cd059218fdfe7ebc440c59addba9c
1856,32,0x69486873ea8e52151a464f4a5a92c8609171a954
1857,32,0x69486873ea8e52151a464f4a5a92c8609171a954
1864,32,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992
1865,32,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992
1866,32,0x03351328843940bb13b014d3acf3debf9fa75525
1889,32,0xa28ef9ab58ae6d14c23f8855852346c9510e49a3
1890,32,0xc2ba2b009a9a8f12fdabed184412120fb072d620
1893,32,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc
1902,16,0x5e7ce8ca069e181188d923d336c0bfa3b85f8666
1916,16,0x0a72b56ce331cf97b9c693a08dce49a9566753b1
1924,32,0xb87186765f4951dce0342fabda15b8966513a464
1931,32,0xfa6e906dd9084d50be4b0e6ac13ef5b7186362e2
1932,16,0xfa6e906dd9084d50be4b0e6ac13ef5b7186362e2
1933,32,0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd
