wallet,moca_id,moca_xp,tribe,week
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5858,108.8,dreamer,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5942,108.8,neo-capitalist,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5968,108.8,dreamer,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6415,108.8,neo-capitalist,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6416,108.8,neo-capitalist,8
0xb4589b3391f9da26a9acbb7d9b371ad4f832591f,2426,80.0,neo-capitalist,8
0x8118547d2f70f36e86c92aeba3c3fac4518d313c,5597,64.0,connector,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2524,63.2,neo-capitalist,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2717,92.8,dreamer,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2718,92.8,dreamer,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2719,92.8,dreamer,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5286,92.8,angel,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5287,105.8,angel,8
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1149,90.0,dreamer,8
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1150,80.0,dreamer,8
0x0a9b43b6d9119bc4f8d480839f6652630b0dd669,3046,48.0,neo-capitalist,8
0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,5091,84.8,connector,8
0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,5970,68.8,neo-capitalist,8
0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,6001,68.8,angel,8
0xbc5e44596816cbe3d45318a3a124f8328c417cde,1217,97.0,dreamer,8
0xbc5e44596816cbe3d45318a3a124f8328c417cde,1218,104.0,dreamer,8
0xbc5e44596816cbe3d45318a3a124f8328c417cde,5017,96.0,connector,8
0x574c6ed03833e957dbd13257e27d29a00bb08c61,3212,90.8,builder,8
0x574c6ed03833e957dbd13257e27d29a00bb08c61,3213,80.8,builder,8
0x574c6ed03833e957dbd13257e27d29a00bb08c61,5386,92.0,dreamer,8
0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b,1781,84.8,angel,8
0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b,2466,85.8,builder,8
0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b,8544,68.8,neo-capitalist,8
0xf3de4637151bef03caaa190fed96e290b30bd0cc,1840,100.0,dreamer,8
0x28031c6b998392d83709871162f892eca9e2f880,3485,72.0,dreamer,8
0x43853aede65371186eac37a91e9e163724aeddcc,3056,90.0,dreamer,8
0xf72ccff19ad94a6ecb096ddf8c35c7ff6fab7c28,3175,93.0,angel,8
0x82636b0d51ed02132d445d3c32a57280a0625053,6059,93.0,angel,8
0x82636b0d51ed02132d445d3c32a57280a0625053,6060,80.0,angel,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,1077,84.8,angel,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,1888,84.8,builder,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,2216,117.8,connector,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,2415,100.8,neo-capitalist,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,2550,84.8,dreamer,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,4652,92.8,angel,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,4653,92.8,angel,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,6125,89.6,neo-capitalist,8
0xf3edf9605cde44470dcc6bf455cd34b939668cc5,3791,80.0,neo-capitalist,8
0xf3edf9605cde44470dcc6bf455cd34b939668cc5,3792,114.0,neo-capitalist,8
0x4daf440bb1ec17628dad45ed45b726759a99271a,1664,93.0,angel,8
0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2393,100.0,angel,8
0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2394,80.0,angel,8
0x70a1d72a5d8b197e9e8825ab193fb638ed08c8c8,1474,80.0,dreamer,8
0x70a1d72a5d8b197e9e8825ab193fb638ed08c8c8,3772,80.0,connector,8
0x2684da0d2e5c1d1dfeaa8048b4dd7400b4605bf7,1419,90.0,connector,8
0xcb14048dfb9971433eb56be524725e1b317b444f,5518,80.0,dreamer,8
0x82f4f85d5a9d2d2ec3300737bea4088d1842d7e8,3844,64.0,dreamer,8
