,wallet,moca_id,moca_xp,week
200,0x96fc7958f554c723b5b7535329bec55a91ebfda3,5367,120.0,13
202,0xdddaf43d858823450a212a4a3c6d16136652951c,1780,107.0,13
205,0x249d9a529e1aafc485777a1da5bb3158831ce9a3,4343,120.0,13
207,0xbe622091b9c7fe76d3ea89a49d21354189f824d5,896,137.0,13
210,0xc130ed78bb8c56ac82aea2216c8f2a49b94ad52f,2919,108.0,13
214,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,2730,175.8,13
218,0xc337828780cc53b4c76041b3fddbf2f8f2a7cfd0,5467,124.0,13
220,0x4c7e8ef1265a9556cdab173877edce0931ca6984,1953,123.0,13
221,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,4927,120.0,13
225,0x3fcfbbdbaf2d42c3e36bb7eb621e9675abd4149b,1657,104.0,13
234,0xacc2c6937a1f73d8a55ac2c3973b7338b3e18b6f,2308,134.0,13
235,0xe224a464e5b021636474a89c5b4bcb46dbd1da25,2236,104.0,13
238,0x39f4da389fef57165bd470eb422c755e271f785b,2070,123.0,13
239,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,2329,172.8,13
240,0xff5ad07002d876bbb63a17d3f5bab8f63f034e1e,6493,104.0,13
241,0xa9e72fb863cab3de32e68b9f990d3f894d7fa9e1,4321,124.0,13
247,0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,4578,147.0,13
249,0xad11b0e1ef67d1d0950eaa159ca821bdb42b6d10,3150,124.0,13
254,0xdba6aee7c7fdecb323d0fdef1900fc99d76ffc38,6914,146.4,13
255,0xb0481e4d9513924d3eef075781794ea81b14e0f7,2431,136.0,13
261,0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,2072,144.0,13
265,0xeeb5d255d45e47e5d6532cc3775986d456bbe1b6,4011,140.0,13
272,0x7b2758ef11d152becab8c9aa3f0f7a43c1075ab9,1640,116.0,13
273,0xc2ba2b009a9a8f12fdabed184412120fb072d620,2158,152.0,13
274,0xf57439b647b5d2ba7309b5b58eaadefa69238926,5707,144.0,13
280,0xc2ba2b009a9a8f12fdabed184412120fb072d620,1890,152.0,13
289,0xffc9a5ecf39dba2bf0b8b2c4d843bfd70b1a6082,3854,115.8,13
291,0xed5830ffee37bcec6b1125906c971d24377cc05d,2623,130.0,13
294,0xb3c7060d67f373e1878bd8daee192ebbe7a797b5,5094,128.8,13
305,0x84e9122ace5d7d22dceed7f56bd65d60bad87c4d,1735,119.2,13
307,0xf3de4637151bef03caaa190fed96e290b30bd0cc,1840,144.0,13
308,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,1425,176.8,13
310,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,4928,120.0,13
321,0xd7d94560bd42c0f9770938c4772e44e856bac27a,4508,130.0,13
322,0xdd483d843f563bd49672639d4188877df4cb0c35,3795,120.0,13
323,0x3cac7e12dc3bae6ebe2909c82addb04da4cc340b,1663,136.0,13
326,0x84e9122ace5d7d22dceed7f56bd65d60bad87c4d,5676,115.2,13
328,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,5869,175.8,13
329,0x2c39b8c5b9d31299449474a4d0bcd8f9a32751e4,1981,67.6,13
330,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,2075,172.8,13
332,0xff5ad07002d876bbb63a17d3f5bab8f63f034e1e,6508,108.0,13
350,0xb3c7060d67f373e1878bd8daee192ebbe7a797b5,4695,100.0,13
351,0x84e9122ace5d7d22dceed7f56bd65d60bad87c4d,5791,127.2,13
353,0x23275c308f4ba60cecb2520033a457d6ea1b04e0,2424,124.0,13
358,0xd898038ad440ef8f981c8bb62bc9e1defd29f27c,3207,123.0,13
369,0x538b436d765cb508a1dd26b6f014b5eb3b29e8bf,1987,120.0,13
370,0xb274b60b3e12c0fabd23e7301f7389b8399806b4,1668,106.4,13
374,0x4c1ad1644bd23876031573fa3bae26cd35e4ee41,4547,124.0,13
378,0x0e7110d45e847629116cda4ba184560a7d40f14a,4517,124.0,13
384,0x8b7bf875e82a259b704c33fd87eceb7f4850f616,3434,107.0,13
386,0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,1157,156.8,13
388,0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5286,147.8,13
389,0x847803a8dbf38a910b58e78b47f0b1c8c22f5f11,3160,132.0,13
395,0xb0e8af8ddc8480789b37f90689c5bbba2139804c,2582,116.0,13
401,0x5b34d7917840fac7e91973abdd5647ae5eeccbaa,3843,142.8,13
403,0x847803a8dbf38a910b58e78b47f0b1c8c22f5f11,3161,122.0,13
404,0x134f89fa9c8dcf62c1e1f4aeb0fe9c9d5e69920a,5271,124.0,13
