wallet,moca_id,moca_xp
0x760713d02bc8810c80e07302b8e62a660d5a04a8,5573,16
0x77a8703db1aeee04405f8a37fde59f669adfa429,1181,16
0x77a8703db1aeee04405f8a37fde59f669adfa429,1182,16
0x77a8703db1aeee04405f8a37fde59f669adfa429,4243,16
0x77a8703db1aeee04405f8a37fde59f669adfa429,6570,16
0x2684da0d2e5c1d1dfeaa8048b4dd7400b4605bf7,1419,16
0x2eb506d25cd53a205cdc0c94d4a6aa71624f3a89,2458,16
0x2eb506d25cd53a205cdc0c94d4a6aa71624f3a89,2459,16
0x2eb506d25cd53a205cdc0c94d4a6aa71624f3a89,2513,16
0x2eb506d25cd53a205cdc0c94d4a6aa71624f3a89,3829,16
0x1684be2eaddfa77387c25402bc83f0b6441cf02d,3971,16
0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b,1781,16
0x4c339ba83562a1ab6e7ce1b9d2668197e2e35153,6351,16
0xc3bb69535780767d2b641073d399546f7098b9c9,1732,16
0xf72ccff19ad94a6ecb096ddf8c35c7ff6fab7c28,3175,16
0x89d5ac566d4d0bf14dad8b0531dd4b3de47f9424,1198,16
0x985354a689a962c28bc171567082d7092afd80c0,2134,16
0x985354a689a962c28bc171567082d7092afd80c0,3066,16
0x985354a689a962c28bc171567082d7092afd80c0,6365,16
0x985354a689a962c28bc171567082d7092afd80c0,6366,16
0x8fe7d3a69c9c28817f51d79952364c9fa3faab83,3108,16
0xe892b432b226f6edefc362761076c9c36fe6c74e,1290,16
0xe892b432b226f6edefc362761076c9c36fe6c74e,3283,16
0x793df8014eaf918924006a4c7fc2999c643c0e9d,3532,16
0xefbc53e0afdc9f649bc1ab692461df57e70a560f,2547,16
0xefbc53e0afdc9f649bc1ab692461df57e70a560f,2548,16
0x63a66304249acebcbda059f6589eb46d442d92a5,1271,16
0x63a66304249acebcbda059f6589eb46d442d92a5,6689,16
0x2c36342035a60481de948d5cf869a69794fad731,3887,16
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,3020,16
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,3599,16
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,4442,16
0xb7162dd79c1f0802d1b4826ac06dad4359bc3aa2,1273,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2717,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2718,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2719,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2720,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5286,16
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5287,16
0x34f3133a2207262f2a15ba6b9a0687ced5714188,1784,16
0x34f3133a2207262f2a15ba6b9a0687ced5714188,1785,16
0x34f3133a2207262f2a15ba6b9a0687ced5714188,4592,16
0x34f3133a2207262f2a15ba6b9a0687ced5714188,5963,16
0x76ebbcee3c5d61a528b562091f49837e8cbda1fa,5651,16
0xdf5569a35e391e7093ca75c84e840220556ed483,5273,16
0xdf5569a35e391e7093ca75c84e840220556ed483,5274,16
0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,5091,16
0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,6001,16
0xde9991ec0533e2c874cc9298097e9cf5db523f76,1976,16
0xde9991ec0533e2c874cc9298097e9cf5db523f76,2438,16
0x66362b929c1a9aaf14c51aab9b455ad7fb8268c4,1216,16
0x66362b929c1a9aaf14c51aab9b455ad7fb8268c4,1236,16
0x66362b929c1a9aaf14c51aab9b455ad7fb8268c4,1683,16
0x66362b929c1a9aaf14c51aab9b455ad7fb8268c4,4616,16
0x66362b929c1a9aaf14c51aab9b455ad7fb8268c4,6454,16
0x66362b929c1a9aaf14c51aab9b455ad7fb8268c4,6455,16
0xd06ea3a796ccbf3d510c83b95d9baf80031b9e7b,3032,16
0xfe832f1c10be7f5f0eac4e3f2d272d6ff89b219a,3773,16
0x7ddcc1708eba863302230d0f3765f826703ce4ae,5174,16
0x994ef02a38df2906888f25ff569dd555ec9402f8,2001,16
0x994ef02a38df2906888f25ff569dd555ec9402f8,2002,16
0x62763a0d45eb16efe2b9f2f30743be0e6ec3a207,1432,16
0x7af28981429bfaa8084d89b7f9336d16755fd71c,1512,16
0x7af28981429bfaa8084d89b7f9336d16755fd71c,1513,16
0xb893ae8a1824604f6df4dfde52e2754921ba1a73,2525,16
0x169f49f813a5c733c08cbc5d225a2d74a28d143c,1764,16
0x169f49f813a5c733c08cbc5d225a2d74a28d143c,1765,16
0xa78c15dcbfab02578e419e9d0a30c0aff06aa10d,1002,16
