wallet,moca_id,moca_xp
0x828702fc0c977f0b347c998c107df77618f85e87,2160,16
0x828702fc0c977f0b347c998c107df77618f85e87,2278,16
0x828702fc0c977f0b347c998c107df77618f85e87,2667,16
0x828702fc0c977f0b347c998c107df77618f85e87,3251,16
0x828702fc0c977f0b347c998c107df77618f85e87,3252,16
0x828702fc0c977f0b347c998c107df77618f85e87,3362,16
0x828702fc0c977f0b347c998c107df77618f85e87,4609,16
0x828702fc0c977f0b347c998c107df77618f85e87,5051,16
0x828702fc0c977f0b347c998c107df77618f85e87,6343,16
0x828702fc0c977f0b347c998c107df77618f85e87,6510,16
0x828702fc0c977f0b347c998c107df77618f85e87,6579,16
0x828702fc0c977f0b347c998c107df77618f85e87,6629,16
0x03351328843940bb13b014d3acf3debf9fa75525,1866,16
0x03351328843940bb13b014d3acf3debf9fa75525,1867,16
0xa2eec7c8029c14a9e9fdd2071dad7e1df616951e,5839,16
0x2c36342035a60481de948d5cf869a69794fad731,3887,16
0x1684be2eaddfa77387c25402bc83f0b6441cf02d,3971,16
0x825853aed453e8c4201adcbaa9384d62abbd7dee,1802,16
0x825853aed453e8c4201adcbaa9384d62abbd7dee,1803,16
0x1bed18d9af7417062ead07c47aeae14cd792a494,1921,16
0x1bed18d9af7417062ead07c47aeae14cd792a494,3885,16
0x1bed18d9af7417062ead07c47aeae14cd792a494,5720,16
0xc28504f2fa279d34fdbe65b26eaada5eb6a220bc,3716,16
0x12b668eb9ca7354b2f05361e3ae12b27547a4986,2537,16
0xc3bb69535780767d2b641073d399546f7098b9c9,1732,16
0x100ee93639b5bb81cf1fb694f3874cc336439bc6,2790,16
0xab3ec2f97121fc16ddab7e3dc8956fe4907dc242,1544,16
0x8a44382e374a95474e61d006c4c8c819cfcd4ccf,4222,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,1431,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,2007,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,2008,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,2529,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,2530,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,2971,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3388,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3411,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3412,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3414,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3441,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3499,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3500,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3592,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3605,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,3606,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,4105,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,4347,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,4348,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,4366,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,4367,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,4369,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,4930,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,5757,16
0x290886a603bae5ed712128ea1fd2ebfaab0ad039,5830,16
0xd0a2f14423ede2df5fe66b61419858c8e3bab3a1,5955,16
0xd0843f3955cddc1dbee552b94d72593b82f06dcc,1361,16
